date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-28,7,18,Indiana,IN,POST,visitations,-0.65492439904049449,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,18,Indiana,IN,POST,total,-0.575385869957628,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,18,Indiana,IN,POST,travel distance,-0.49584734087476151,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,20,Kansas,KS,POST,visitations,-0.59661499456962686,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,20,Kansas,KS,POST,total,-0.527310492095318,2.5,C-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,20,Kansas,KS,POST,travel distance,-0.45800598962100919,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,21,Kentucky,KY,POST,visitations,-0.53323187316529563,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,21,Kentucky,KY,POST,total,-0.46341456210165966,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,21,Kentucky,KY,POST,travel distance,-0.39359725103802368,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,22,Louisiana,LA,POST,visitations,-0.61294678840760808,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,22,Louisiana,LA,POST,total,-0.53038147273490721,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,22,Louisiana,LA,POST,travel distance,-0.44781615706220623,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,25,Massachusetts,MA,POST,visitations,-0.67447596544798,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,25,Massachusetts,MA,POST,total,-0.60667704900880481,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,25,Massachusetts,MA,POST,travel distance,-0.53887813256962958,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,24,Maryland,MD,POST,visitations,-0.67512809378124472,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,24,Maryland,MD,POST,total,-0.59099609043115342,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,24,Maryland,MD,POST,travel distance,-0.50686408708106212,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,23,Maine,ME,POST,visitations,-0.56788300385324209,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,23,Maine,ME,POST,total,-0.485543787410127,2.5,C-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,23,Maine,ME,POST,travel distance,-0.4032045709670119,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,26,Michigan,MI,POST,visitations,-0.74474552790390613,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,26,Michigan,MI,POST,travel distance,-0.60385321861357766,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,26,Michigan,MI,POST,total,-0.6742993732587419,4.5,A-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,27,Minnesota,MN,POST,visitations,-0.74805730913487767,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,27,Minnesota,MN,POST,travel distance,-0.62460983421776506,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,27,Minnesota,MN,POST,total,-0.68633357167632136,4.5,A-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,29,Missouri,MO,POST,visitations,-0.60510262096966916,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,29,Missouri,MO,POST,total,-0.51790080184203524,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,29,Missouri,MO,POST,travel distance,-0.43069898271440143,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,28,Mississippi,MS,POST,visitations,-0.50748469330282409,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,28,Mississippi,MS,POST,total,-0.44476427575377464,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,28,Mississippi,MS,POST,travel distance,-0.38204385820472514,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,30,Montana,MT,POST,visitations,-0.70620634847903541,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,30,Montana,MT,POST,total,-0.53165062650798034,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,30,Montana,MT,POST,travel distance,-0.35709490453692533,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,37,North Carolina,NC,POST,visitations,-0.52301070347924228,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,37,North Carolina,NC,POST,total,-0.45715179039207388,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,37,North Carolina,NC,POST,travel distance,-0.39129287730490553,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,38,North Dakota,ND,POST,visitations,-0.62009033273982972,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,38,North Dakota,ND,POST,total,-0.52055724964269945,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,38,North Dakota,ND,POST,travel distance,-0.42102416654556912,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,31,Nebraska,NE,POST,visitations,-0.55520785414114615,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,31,Nebraska,NE,POST,total,-0.49917430675741137,2.5,C-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,31,Nebraska,NE,POST,travel distance,-0.44314075937367653,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,33,New Hampshire,NH,POST,visitations,-0.620792683336842,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,33,New Hampshire,NH,POST,total,-0.555892339622169,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,33,New Hampshire,NH,POST,travel distance,-0.49099199590749604,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,34,New Jersey,NJ,POST,visitations,-0.77244865063534163,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,34,New Jersey,NJ,POST,travel distance,-0.58199327808858847,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,34,New Jersey,NJ,POST,total,-0.67722096436196511,4.5,A-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,35,New Mexico,NM,POST,visitations,-0.6182786987420309,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,35,New Mexico,NM,POST,total,-0.47843348186092027,2.5,C-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,35,New Mexico,NM,POST,travel distance,-0.33858826497980971,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,32,Nevada,NV,POST,visitations,-0.75893804526666953,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,32,Nevada,NV,POST,total,-0.63880497762279875,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,32,Nevada,NV,POST,travel distance,-0.518671909978928,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,36,New York,NY,POST,visitations,-0.72838543754355189,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,36,New York,NY,POST,travel distance,-0.58960378574458094,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,36,New York,NY,POST,total,-0.65899461164406636,4.5,A-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,39,Ohio,OH,POST,visitations,-0.65228159319103129,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,39,Ohio,OH,POST,total,-0.577121129377137,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,39,Ohio,OH,POST,travel distance,-0.5019606655632427,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,40,Oklahoma,OK,POST,visitations,-0.51794739807475987,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,40,Oklahoma,OK,POST,total,-0.43917214709836933,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,40,Oklahoma,OK,POST,travel distance,-0.36039689612197878,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,41,Oregon,OR,POST,visitations,-0.65302753313310846,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,41,Oregon,OR,POST,total,-0.53151770288310274,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,41,Oregon,OR,POST,travel distance,-0.41000787263309707,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,42,Pennsylvania,PA,POST,visitations,-0.72521032781294348,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,42,Pennsylvania,PA,POST,total,-0.62827525439339693,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,42,Pennsylvania,PA,POST,travel distance,-0.53134018097385038,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,44,Rhode Island,RI,POST,visitations,-0.61584538853861071,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,44,Rhode Island,RI,POST,total,-0.550348801874475,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,44,Rhode Island,RI,POST,travel distance,-0.48485221521033933,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,45,South Carolina,SC,POST,visitations,-0.512809006925025,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,45,South Carolina,SC,POST,total,-0.42598437296005454,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,45,South Carolina,SC,POST,travel distance,-0.33915973899508406,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,46,South Dakota,SD,POST,visitations,-0.6286934263312316,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,46,South Dakota,SD,POST,total,-0.5338198753137442,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,46,South Dakota,SD,POST,travel distance,-0.43894632429625668,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,47,Tennessee,TN,POST,visitations,-0.51944019150804666,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,47,Tennessee,TN,POST,total,-0.44819210928796049,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,47,Tennessee,TN,POST,travel distance,-0.37694402706787439,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,48,Texas,TX,POST,visitations,-0.6227766918178016,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,48,Texas,TX,POST,total,-0.5406604745406538,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,48,Texas,TX,POST,travel distance,-0.45854425726350589,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,49,Utah,UT,POST,visitations,-0.559434290519124,2,D,2020-04-01 16:30:12.877678 UTC
